,A,B,C,D
2024-10-15,-1.3974065951618104,0.04222396303112243,-0.2210786148769942,-0.0725167699240183
2024-10-16,0.9837853525130844,-1.652721420933177,1.4501483965056174,-0.27816995540530587
2024-10-17,-1.6847384086121018,0.2923654135577397,0.265665391706035,1.2149570758002841
2024-10-18,-0.4484605477188084,0.8067090090914775,-0.38168477025434333,0.09342212004498557
2024-10-19,-1.5767959031723018,0.3956191225650882,1.4490440678652048,-0.5395239102346423
2024-10-20,-0.03138772921028537,1.1207178655681747,-0.8324696534796178,0.407241775099394
2024-10-21,0.6490916217359655,1.4217232955843366,1.2635611145571606,-0.5063306002096422
2024-10-22,-0.6399726016587501,-0.33340366308871255,-1.0711090896923998,-0.8794056558159284
2024-10-23,0.3935132462003782,0.09505802958774576,0.12267008982344893,0.1463792687152566
2024-10-24,-0.1993892391299355,1.0218823800441563,0.4906030023031735,0.9801031041746726
